id,teks,emosi
241,Presiden terpilih Prabowo Subianto diam diam sudah mengantongi nama Menteri Keuangan baru Siapa ya kira kira,negatif
242,PR dan Ujian Semester Pendek bagi Menteri Keuangan Baru Membangun Keuangan Negara Berbasis GRC Baca selengkapnya di sini,negatif
243,Purbaya Yudhi Sadewa ditunjuk Presiden Prabowo sebagai Menteri Keuangan baru untuk menggantikan Sri Mulyani,negatif
244,Kementerian Keuangan tengah menyiapkan peraturan menteri keuangan baru yang mengatur tentang penerapan prinsip kewajaran dan kelaziman usaha PKKU atau arm s length principle ALP,negatif
245,tanggapan anak menteri keuangan Pak Purbaya,negatif
246,kak pak purbaya menteri keuangan indo pake lagu GO,negatif
247,Alhamdulillah bisa bersilaturahmi dengan Menteri Keuangan Menkeu Pak Purbaya Yudhi Sadewa Kami berdiskusi di kantor beliau tentang banyak hal Utamanya bagaimana Kadin Indonesia sebagai mitra strategis pemerintah bisa berkolaborasi dengan Kemenkeu,negatif
248,Ikutbikutan yang lagi trend ah RI 19 menteri keuangan pak purbaya bukan siih klo betul beliau saya akan minggir kluar trotoar RI 2 ttp jangan dikasih jalan yaa ingaat,negatif
249,Anak Menteri Keuangan Pak Purbaya baru baru ini memberi peringatan di media sosial Saham tambang batubara sebaiknya dijual setelah Hari Lahir Nabi Isa Desember ini,positif
250,Menteri Keuangan Menkeu Purbaya Yudhi Sadewa membuka jalur pengaduan bagi masyarakat yang ingin mengadukan masalah pajak dan bea cukai melalui nomor WhatsApp 0822 4040 6600 Purbaya mengatakan layanan pengaduan ini diberi tajuk Lapor Pak Purbaya Ia menunjukkan flyer berisi,negatif
251,Pak purbaya mau jadi menteri keuangan,negatif
252,Dukungan menteri keuangan pak Purbaya jangan mau bayar hutang kereta cepat itu,positif
253,Dari sekian banyak menteri yg benar2 pilihan pak Prabowo hanya pak Purbaya menteri keuangan kita Menteri2 kabinet ini sebagai besar titipan dari pemimpin terdahulu,negatif
254,Bayangkan Seandainya 10 tahun yang lalu Pak Purbaya ini yang jadi Menteri Keuangan,negatif
255,Hallo sobat Laporpajak Ribuan aduan wajib pajak masuk ke kanal Lapor Pak Purbaya Menteri Keuangan berjanji menindak tegas oknum fiskus yang tidak profesional,negatif
256,Menteri Keuangan Menkeu Purbaya Yudhi Sadewa geram saat mengetahui ada pegawai pajak yang melakukan penagihan tak masuk akal Hal itu terungkap dari aduan masyarakat yang diterima Kemenkeu daro layanan WhatsApp Lapor Pak Purbaya Purbaya blak blakan bahwa ada pegawai pajak,negatif
257,Ternyata pak Purbaya menteri keuangan mengkoleksi keris di majalah masih ketua LPS karena majalah infobank ini keluar bulan Agustus 2025,negatif
258,INGAT PAK PRESIDEN PRABOWO SUBIANTO INI SEMUA HASIL KERJA KERAS MENTERI KEUANGAN ANDA PAK PURBAYA,negatif
259,Pak Purbaya menggantikan bu Sri Mulyani sebagai Menteri Keuangan,negatif
260,YA ALLAH MAU KAYA PAK PURBAYA MAU KERJA DI MENTERI KEUANGAN,negatif
261,Pegawai Pajak Nakal Tenang Sekarang Bisa Lapor Langsung ke Pak Purbaya Menteri Keuangan Purbaya Yudhi Sadewa baru aja merilis layanan Lapor Pak Purbaya kanal resmi via WhatsApp 0822 4040 6600 untuk menampung aduan masyarakat terkait pajak dan bea cukai,negatif
262,LUAR BIASA KINERJA MENTERI KEUANGAN RI PAK PURBAYA,negatif
263,Gara gara Pak Purbaya AHY Dan Dody Hanggodo kelihatan tak bisa Kerja Sampai rakyat ngadu ke Menkeu soal infrastruktur Kritik buat Mas lebih sigap Dan responsif lah jadi menko Malu Sama menteri keuangan Senin 1 Tahun Pemerintahan Prabowo,negatif
264,Menteri Keuangan Purbaya Yudhi Sadewa membacakan sejumlah laporan masyarakat yang masuk lewat kanal Lapor Pak Purbaya Selengkapnya di video berikut ini,negatif
265,Menteri keuangan Mau nyaingin pak Purbaya,negatif
266,1 Saya baru saja menonton konprensi pers Menkeu kita yang baru pak Purbaya Yudhi Sadewa dikantor Menteri Keuangan Beberapa jam setelah dia dilantik 2 Beliau sangat santai dan percaya diri menjawab pertanyaan semua wartawan Gesturenya tubuhnya menunjukkan dia adalah orang,positif
267,Well done Pak Merci beaucoup Jendral sdh menunjuk Pak Purbaya sbg menteri keuangan GOD Bless you all,negatif
268,lagi hobi apa lagi hobi ntnin menteri keuangan pak purbaya seumur2 baru kali ini suka ntnin menteri sampe di cariin tiap hari di utube se SERU itu di tontonin im shock myself too lol,negatif
269,Apa pendapatmu soal pernyataan menteri keuangan yang baru pak purbaya IHSG bisa melejit atau nyungsep,negatif
270,saya dukung menteri keuangan pak purbaya,positif
271,Sebaiknya pak purbaya jd menteri keuangan dan perdagangan agar tdk ada permainan kotor di kedua institusi negara yg paling dasar dan dibutuhkan rakyat,positif
272,LESSGOOO PAK PURBAYA KAMI MENARUH HARAPAN BESAR PADA ANDA SEBAGAI MENTERI KEUANGAN YG BARU KAMI DUKUNG BERBAGAI GEBRAKAN ANDA MENUJU INDONESIA EMAS,positif
273,Sehebat apa kampus Menteri Keuangan Pak Purbaya Purdue University,negatif
274,Menteri Keuangan Purbaya Yudhi Sadewa menegur keras pegawai pajak di KPP Tigaraksa yang melakukan penagihan ke rumah wajib pajak pada pukul 05 41 WIB Aksi tersebut dilaporkan melalui kanal pengaduan resmi Lapor Pak Purbaya dan disebut sebagai bentuk premanisme Purbaya,negatif
275,hey botak rakyat yang mana gue tetap menginginkan pak Purbaya menjadi menteri keuangan,negatif
276,Itu artinya anggota DPR selama ini memiliki kursi kursi kerajaan di BUMN Karena itulah BUMN terus mengalami kerugian karena DPR RI mendapat keuntungan spesial dari BUMN Nah ketika pak Purbaya sebagai Menteri Keuangan melaksanakan fungsinya mengontrol dana negara yang mengalir,negatif
277,Menteri Keuangan Purbaya Yudhi Sadewa tengah dibuat kesal oleh laporan masyarakat yang menyebut ada seorang pegawai Bea dan Cukai kedapatan nongkrong di salah satu kafe ternama saat jam kerja Laporan tersebut datang melalui kanal pengaduan Lapor Pak Purbaya yang baru 2 hari,negatif
278,MENTERI MENTERI TIDAK AJAK OMONG MENKEU PURBAYA MAJU TERUS PAK PURBAYA Suasana Sidang Kabinet Paripurna ketika Menteri Keuangan Purbaya tidak diajak bicara Dicuekin menteri menteri lainnya Tenang saja Pak Purbaya mereka itu memang macan macan tapi ompong,negatif
279,Menteri Keuangan Menkeu Purbaya Yudhi Sadewa menerima banyak laporan yang berisi keluhan terkait Bea Cukai Keluhan itu disampaikan melalui hotline Lapor Pak Purbaya di WhatsApp 0822 4040 6600 gt gt,negatif
280,Sangat setuju dg Pak Purbaya Menteri keuangan bea cukai itu ladang basah tempat para mafia pelabuhan melakukan korupsi sejak era orde baru sampai saat ini Orang orang bea cukai gak ada yg hidupnya miskin,negatif
281,Pak purbaya ya menteri keuangan Isinya saya lihat sharing bobrok nya pemerintah Busuknya birokrasi Itu yang bagi saya point pentingnya Jadi kalau daerah KEUANGAN sudah busuk sekali puluhan tahun Kenapa baru sekarang ramai,negatif
282,Menteri Keuangan Menkeu Purbaya Yudhi Sadewa mendapat laporan masyarakat terkait oknum pejabat Bea Cukai Laporan itu diterima dari hotline Lapor Pak Purbaya pada WhatsApp dengan nomor 0822 4040 6600 Simak berita selengkapnya hanya di,negatif
283,Menteri Keuangan Purbaya Yudhi Sadewa memastikan dirinya akan turun langsung memantau proses penanganan aduan masyarakat yang masuk melalui kanal WhatsApp Lapor Pak Purbaya Langkah ini dilakukan untuk memastikan setiap laporan benar benar ditindaklanjuti oleh jajaran Kemenkeu,negatif
284,Menteri Keuangan Purbaya Luncurkan Layanan Aduan Lapor Pak Purbaya Lewat WhatsApp,negatif
285,Kalau kak prabu udah ngetuit dukung menteri keuangan pak purbaya udah pasti ini menteri lurus dan memihak rakyat terbukti sekarang engagementnya naik dan rakyat semua kalangan mencintai beliau Semoga semua gebrakannya terbukti nyata bukan fatamorgana,positif
286,Bisa kan pak Purbaya sebagai menteri keuangan stop anggaran nya untuk beli gas air mata Buat Polri,negatif
287,Menteri Keuangan Purbaya Yudhi Sadewa melaporkan 28 390 aduan masyarakat melalui kanal Lapor Pak Purbaya Seperti ini laporannya,negatif
288,mimpi malah degdegan parah backgroundku memang didunia nyata ada akuntansi tp gak expect tbtb dites masalah siklus akuntansi yang nguji pak purbaya pak menteri keuangan mana ujiannya oral,negatif
289,Presiden Prabowo memerintahkan kpd Menkeu Purbaya utk mengaudit Dana Desa Sip lah Gasss jangan pake rem,negatif
290,Preparing yg to the mars Kata Menkeu Purbaya Bukan to the moon lagi,negatif
291,Denger ya ndruun plus bani lobet yang doyan hoax hutang negara Ini pak Menkeu Purbaya loh yang ngomong,negatif
292,Menkeu Purbaya Bantah Bantuan Asing untuk Bencana Sumatera Kena Pajak Gak Bener Siapa yang Ngomong Menkeu Purbaya Yudhi Sadewa membantah bantuan asing untuk bencana Sumatera terkena pajak Pernyataan itu disampaikan Purbaya dalam konferensi pers APBN KITA pada Kamis 18 12,negatif
293,Siapa yang baru tau ada uang sebesar Rp 60 triliun yg diambil dari budget rapat rapat gak jelas saat Pak Purbaya jadi Menkeu Kocak banget si ini duit rakyat dipake buat rapat gak jelas segitu gedenya,negatif
294,Momen Pak menepuk pundak Menkeu Purbaya dan Menhut Raja Juli saat penyerahan dana korupsi penyalahgunaan wewenang pemanfaatan hutan oleh Kejaksaan kepada negara 2 institusi yg dinilai berjasa selain Kejaksaan Agung tentunya,negatif
295,Menkeu Purbaya Saya Ceritain Sedikit Rahasia Presiden Prabowo,negatif
296,PURBAYA DILAWAN Menteri Keuangan Menkeu Purbaya Yudhi Sadewa merespons pernyataan anggota Komisi XI DPR RI Kardaya Warnika terkait fenomena banyaknya WNI yang bekerja ke luar negeri Purbaya tidak sependapat dengan pernyataan Kardaya yang menyatakan pemerintah harus mendukung,positif
297,Ketua PKB Jazilul Fawaid Mendukung Menkeu Purbaya Terapkan Bea Keluar Ekspor Batu Bara lewat News,positif
298,BAPAK SAMA ANAK SAMA SAMA MENYALA Anak Menkeu Purbaya cerita Mecat pegawai pajak yang lagi Ngerugpull ketika jam kerja,negatif
299,Menteri Keuangan Menkeu Purbaya Yudhi Sadewa menyindir para perusahaan batu bara yang tengah melakukan protes terkait dengan rencana pengenaan bea keluar untuk komoditas batu bara pada awal tahun ini Baca selengkapnya AM,negatif
300,Anak Menkeu Purbaya Kasih Bocoran Rahasia Cuan Investasi Kripto,negatif
301,Siitaan Kejagung yg berhasil dikembalikan ke negara bakal berdampak besar Presiden Prabowo punya ide konkret bangun kembali rumah warga terdampak bencana Menkeu Purbaya juga menegaskan sitaan ini menambah kekuatan APBN RI Kalau RUU Perampasan Aset disahkan Beuh negara,negatif
302,Menkeu Purbaya sentil BNPB amp Menteri PU,negatif
303,Benarkah Menkeu Purbaya adalah mastermind penyitaan uang korupsi konglomerat Buka tautan untuk lihat faktanya,negatif
304,SAYANG JIKA TIDAK DI DUKUNG Menkeu Purbaya mengungkapkan Direktorat Jenderal Bea Cukai terancam dibekukan karena kinerja yang kurang memuaskan di mata pimpinan tertinggi negara hingga masyarakat Purbaya sudah meminta waktu untuk membenahi Bea Cukai selama 1 tahun kepada,positif
305,Anak Menkeu Purbaya Ungkap Saham Saham Multibagger Tahun 2026,negatif
306,Ramalan Anak Menkeu Purbaya Saham Ini Calon Multibagger 2026,negatif
307,Kedua Orang Sosok Menteri ini Lagi Menyala dan Mendapat Tempat di Hati Masyarakat Menkeu Purbaya amp Seskab Teddy Disambut Teriakan Histeris di Puncak Hari Guru 2025,negatif
308,MENTERI Keuangan Menkeu Purbaya Yudhi Sadewa membuat aturan terkait kelonggaran bagi Direktorat Jenderal Pajak atau DJP soal pengisian jabatan baru hingga akhir 2026,negatif
309,Menkeu Purbaya dan Menteri PANRB Bahas Kebijakan Program Prioritas Arahan Presiden Prabowo lewat News,negatif
310,Menkeu Purbaya Heran Serangan AS ke Venezuela Lolos Pantauan PBB,negatif
311,Menteri Keuangan Menkeu Purbaya Yudhi Sadewa berkelakar bahwa dirinya terkenal hingga ke tukang sayur setelah kondisi perekonomian mulai tumbuh Baca di sini TA,positif
312,Menkeu Purbaya Kaget Proyek Jembatan Pascabencana Ternyata Masih Nunggak,negatif
313,Menkeu Purbaya Pede Ekonomi Indonesia Tumbuh 6 Persen di 2026,positif
314,Menkeu Purbaya Yudhi Sadewa resmi menerbitkan aturan baru yang mengawasi kepatuhan wajib pajak dalam PMK Nomor 111 Tahun 2025 Baca detailnya di sini,negatif
315,Menkeu Purbaya berjanji tidak akan melanjutkan mekanisme burden sharing antara Pemerintah dan Bank Indonesia Purbaya beralasan kebijakan tersebut menurunkan kepercayaan pasar serta berpotensi merusak kredibilitas Pemerintah dan independensi BI,positif
316,Iki sik salah satu utama ditunggu pasar kepercayaan pasar thd kredibilitas sosok calon menkeu sangat berpengaruh,positif
317,Kata Presiden Gak Peduli dg Saham Polisi Ngurus IHSG TNI Ngurus ketahanan pangan Menteri Keuangan ngurus Ormas Jangan lupa petugasnya dibekali senjata laras panjang jika ada investor yg mau kabur DORRR Tembak di tempat,negatif
318,Harga surat utang negara RI naik setelah Menteri Keuangan Purbaya Yudhi Sadewa memberi sinyal pengurangan penarikan utang APBN 2025 yang mendorong investor berburu obligasi dan menekan yield semua tenor Simak selengkapnya,negatif
319,Menteri Keuangan Purbaya menilai fluktuasi IHSG justru sehat karena memberi ruang bagi investor untuk meraih keuntungan dari dinamika pasar,negatif
320,Menteri Keuangan Sri Mulyani berharap makin banyak investor yang tertarik untuk membiayai pemensiunan dini PLTU batu bara,positif
321,Menko Luhut B Pandjaitan bersama Menteri Keuangan Sri Mulyani Indrawati berdiskusi dengan tokoh tokoh dunia Menko Luhut mengajak dan meyakinkan para investor luar negeri untuk berinvestasi di Indonesia,negatif
322,Momen presiden prabowo subianto mengatakan ekonomi kita lagi bagus bagusnya sedangkan PHK terjadi di mana mana dan hari ini resuffle kabinet salah satunya menggantikan menteri keuangan yang menyebabkan IHSG anjlok Investor mencabut atau kabur Dan sri mulyani adalah orang yg,negatif
323,Perdagangan sesi 1 IHSG ditutup dengan turun 1 66 Transisi menteri keuangan membutuhkan waktu untuk menarik kepercayaan investor asing Pergantian Sri Mulyani tentu membuat pasar panik karena investor khawatir disiplin fiskal akan kendor,positif
324,Presiden Tepis Tudingan Adanya Pergantian Menteri Keuangan,negatif
325,Pergantian Menkeu berpotensi melanggar undang undang karena dapat menyebabkan ketidakpastian kebijakan ekonomi,negatif
326,Indef menilai Agus Marto tidak cocok di Bank Indonesia dan pergantian Menteri Keuangan sangat berisiko dalam kondisi perekonomian saat ini,negatif
327,Sterling mengkonsolidasikan keuntungan setelah pergantian Menteri Keuangan,negatif
328,Isu pergantian Menteri Keuangan Sri Mulyani disebut seribu persen tidak benar,negatif
329,Istana belum mau menyinggung isu pergantian Menteri Keuangan,negatif
330,Isu pergantian Menteri Keuangan kembali ditepis oleh Istana,negatif
331,Pengumuman kabinet Indonesia Bersatu II juga mencakup pergantian Menteri Keuangan,negatif
332,Istana belum mau singgung isu pergantian Menteri Keuangan,negatif
333,Presiden kembali menepis tudingan adanya pergantian Menteri Keuangan,negatif
334,Penurunan kepercayaan investor dikaitkan dengan isu pergantian Menteri Keuangan,positif
335,Pergantian Menteri Keuangan dinilai cepat atau lambat akan terjadi,negatif
336,Sterling kembali menguat pasca isu pergantian Menteri Keuangan,negatif
337,Istana belum mau singgung pergantian Menteri Keuangan,negatif
338,Presiden menepis kabar pergantian Menteri Keuangan,negatif
339,Pergantian Menteri Keuangan belum diputuskan karena masih ada menteri lain yang berpotensi mundur,negatif
340,Pergantian Menteri Keuangan Sri Mulyani disebut sebagai solusi saling menguntungkan,negatif
341,Rupiah melemah dan analis menilai pergantian Menteri Keuangan berpengaruh signifikan,negatif
342,Reshuffle kabinet mengejutkan publik terutama karena pergantian Menteri Keuangan,negatif
343,Rupiah melemah akibat sentimen pergantian Menteri Keuangan,negatif
344,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya berdampak pada sektor keuangan,negatif
345,Isu reshuffle kabinet kembali mencuat termasuk kemungkinan pergantian Menteri Keuangan,negatif
346,Pengamat menilai penundaan transfer dana akibat pergantian Menteri Keuangan,negatif
347,Purbaya Yudhi Sadewa resmi menjabat sebagai Menteri Keuangan menggantikan Sri Mulyani,negatif
348,Isu pergantian Menteri Keuangan Sri Mulyani kembali berhembus kencang,negatif
349,Investor mencermati dampak pergantian Menteri Keuangan terhadap pasar saham,negatif
350,Pemerintah memastikan pergantian Menteri Keuangan tidak mengganggu program kredit perumahan,negatif
351,Pergantian Menteri Keuangan diharapkan membawa arah baru kebijakan ekonomi nasional,positif
352,Pergantian Menteri Keuangan dinilai berdampak signifikan pada sektor keuangan,negatif
353,Indef kembali menilai pergantian Menteri Keuangan berisiko bagi stabilitas ekonomi,positif
354,DPR menilai pergantian Menteri Keuangan dapat mempengaruhi kebijakan moneter,negatif
355,Isu pergantian Menteri Keuangan menjadi sorotan pelaku bisnis,negatif
356,Pemberitaan otomatis mengenai dampak pergantian Menteri Keuangan,negatif
357,Pemberitaan ulang mengenai dampak pergantian Menteri Keuangan,negatif
358,Analisis ekonomi menyoroti risiko pergantian Menteri Keuangan,negatif
359,Pengamat menyarankan pergantian Menteri Keuangan dilakukan setelah 2026,negatif
360,Pergantian Menteri Keuangan menjadi sorotan utama dalam reshuffle kabinet,negatif
361,Publik menanggapi pergantian Menteri Keuangan dengan beragam opini,negatif
362,Kritik netizen terhadap pencitraan pergantian Menteri Keuangan,negatif
363,Pelaku ekonomi luar negeri memantau isu pergantian Menteri Keuangan Indonesia,negatif
364,Luhut buka suara terkait isu pergantian Menteri Keuangan,negatif
365,Analis internasional menilai pergantian Menteri Keuangan berpotensi mengubah arah fiskal,negatif
366,Dampak pergantian Menteri Keuangan menjadi topik utama diskusi ekonomi,negatif
367,Pasar modal bereaksi negatif terhadap pergantian Menteri Keuangan,negatif
368,Pergantian Menteri Keuangan disebut sejalan dengan visi ekonomi Presiden,negatif
369,Pemerintah menegaskan pergantian Menteri Keuangan tidak mengganggu program perumahan,negatif
370,Kritik publik terhadap sikap tokoh yang sebelumnya mendukung pergantian Menteri Keuangan,positif
371,Presiden menggelar diskusi ekonomi nasional pasca pergantian Menteri Keuangan,negatif
372,Akademisi menilai pergantian Menteri Keuangan membuka babak baru kebijakan fiskal,negatif
373,Jokowi mendukung hak prerogatif Presiden terkait pergantian Menteri Keuangan,positif
374,Pergantian Menteri Keuangan mengguncang pasar keuangan dan nilai tukar rupiah,negatif
375,Pergantian Menteri Keuangan kembali menjadi sorotan media nasional,negatif
376,Pemerintah menegaskan program KUR tetap berjalan pasca pergantian Menteri Keuangan,negatif
377,IHSG sempat tertekan setelah kabar pergantian Menteri Keuangan,negatif
378,Pergantian Menteri Keuangan dikaitkan dengan kebijakan fiskal sebelumnya,negatif
379,Ekonom menantikan gebrakan fiskal Menteri Keuangan baru,positif
380,Respons akademisi terhadap pergantian Menteri Keuangan semakin menguat,negatif
381,Perbincangan netizen mengenai pergantian Menteri Keuangan mencapai puluhan ribu,negatif
382,Pelemahan rupiah dikaitkan dengan pergantian Menteri Keuangan,negatif
383,Profil Menteri Keuangan baru menjadi sorotan publik,negatif
384,Diskusi mengenai dampak pergantian Menteri Keuangan di sektor finansial,negatif
385,Analisis publik terhadap figur Menteri Keuangan baru,negatif
386,Pergantian Menteri Keuangan dianggap membawa risiko besar bagi masyarakat,negatif
387,Konten viral membahas figur Menteri Keuangan baru,negatif
388,Publik menyoroti gaya komunikasi Menteri Keuangan baru,negatif
389,Pembahasan kebijakan ekonomi pasca pergantian Menteri Keuangan,negatif
390,Nasehat tokoh publik kepada Menteri Keuangan baru,negatif
391,Reaksi netizen terhadap Menteri Keuangan baru beragam,negatif
392,Kontroversi unggahan keluarga Menteri Keuangan baru,negatif
393,Sindiran publik terhadap kinerja awal Menteri Keuangan baru,negatif
394,Profil lengkap Menteri Keuangan baru dibahas luas,negatif
395,Drama awal kepemimpinan Menteri Keuangan baru menjadi sorotan,negatif
396,Analisis asosiasi dan persepsi publik terhadap Menteri Keuangan baru,negatif
397,BEM UI mendesak pencopotan Menteri Keuangan baru,negatif
398,Netizen membahas blunder awal Menteri Keuangan baru,negatif
399,Menteri Keuangan baru menjanjikan pengelolaan APBN yang stabil,positif
400,Pemerintah optimistis terhadap kebijakan Menteri Keuangan baru,positif
401,Sri Mulyani meminta privasi pasca serah terima jabatan,negatif
402,Menteri Keuangan baru menyampaikan permintaan maaf kepada publik,negatif
403,Konten resmi memperkenalkan Menteri Keuangan baru,negatif
404,Isu viral mingguan menyoroti Menteri Keuangan baru,negatif
405,Demonstrasi mahasiswa menolak Menteri Keuangan baru,negatif
406,Pergantian Menteri Keuangan dikaitkan dengan reshuffle kabinet lain,negatif
407,Pernyataan Menteri Keuangan baru terkait tuntutan rakyat,negatif
408,Berita resmi pelantikan Menteri Keuangan baru,negatif
409,Latar belakang pendidikan Menteri Keuangan baru dibahas publik,negatif
410,Tantangan besar menanti Menteri Keuangan baru,negatif
411,Kritik publik terhadap efisiensi anggaran oleh Menteri Keuangan baru,negatif
412,Reaksi demonstran terhadap Menteri Keuangan baru,negatif
413,Evaluasi publik terhadap pemaparan Menteri Keuangan baru di DPR,negatif
414,Bursa saham merespons pelantikan Menteri Keuangan baru,negatif
415,Kebijakan awal Menteri Keuangan baru menarik perhatian publik,negatif
416,Serah terima jabatan Menteri Keuangan berlangsung resmi,negatif
417,Interaksi santai publik dengan Menteri Keuangan baru,negatif
418,Komentar singkat publik mengenai gaya Menteri Keuangan baru,negatif
419,Kontroversi keluarga Menteri Keuangan baru kembali mencuat,negatif
420,Menteri Keuangan baru berjanji menjaga stabilitas fiskal,positif
421,Tantangan ekonomi besar menghadang Menteri Keuangan baru,negatif
422,Menteri Keuangan baru optimistis pertumbuhan ekonomi,positif
423,Ringkasan rapat DPR bersama Menteri Keuangan baru,negatif
424,Proses penandatanganan Menteri Keuangan baru menjadi perhatian,negatif
425,Pertanyaan publik tentang arah ekonomi pasca pergantian Menteri Keuangan,negatif
426,Dukungan moral publik kepada Menteri Keuangan baru,positif
427,Pemberitaan internasional tentang Menteri Keuangan baru,negatif
428,Kritik publik terhadap kebijakan Menteri Keuangan baru,negatif
429,Kenaikan cukai dikaitkan dengan kebijakan Menteri Keuangan baru,negatif
430,Gebrakan awal Menteri Keuangan baru memicu pro dan kontra,positif
431,Netizen menyoroti gaya komunikasi Menteri Keuangan baru,negatif
432,Spekulasi publik soal nama Menteri Keuangan baru,negatif
433,Media internasional menyoroti Menteri Keuangan baru Indonesia,negatif
434,Dampak pelantikan Menteri Keuangan baru terhadap pasar saham,negatif
435,Dukungan dunia usaha terhadap Menteri Keuangan baru,positif
436,Kebijakan awal Menteri Keuangan baru kembali disorot,negatif
437,Respons santai publik terhadap Menteri Keuangan baru,negatif
438,Momen perpisahan Sri Mulyani sebagai Menteri Keuangan,negatif
439,Analis menilai beban berat Menteri Keuangan baru,negatif
440,Publik menilai rekam jejak Menteri Keuangan baru positif,positif
441,Klarifikasi cepat Menteri Keuangan baru di hari pertama,negatif
442,Editorial media menyoroti ekonomi di bawah Menteri Keuangan baru,negatif
443,Komentar ringan publik terhadap penampilan Menteri Keuangan baru,negatif
444,Pernyataan Menteri Keuangan baru terkait alasan penunjukannya,negatif
445,Dukungan publik terhadap Menteri Keuangan baru,positif
446,Serah terima jabatan Sri Mulyani kepada Menteri Keuangan baru,negatif
447,Netizen menyambut Menteri Keuangan baru dengan humor,negatif
448,Kontroversi unggahan keluarga Menteri Keuangan baru kembali viral,negatif
449,Momen perpisahan resmi Sri Mulyani di Kementerian Keuangan,negatif
450,Fokus kebijakan awal Menteri Keuangan baru pada UMKM,negatif
451,Netizen mengkritik gaya bicara Menteri Keuangan baru,negatif
452,Publik menilai tugas Menteri Keuangan baru sangat berat,negatif
453,Isu kedekatan Menteri Keuangan baru dengan elite politik,negatif
454,Analisis dampak likuiditas oleh Menteri Keuangan baru,negatif
455,Silsilah keluarga Menteri Keuangan baru dibahas publik,negatif
456,Gebrakan lanjutan Menteri Keuangan baru terus disorot,positif
457,Latar belakang pendidikan Menteri Keuangan baru menjadi perbincangan,negatif
458,Permintaan publik kepada Menteri Keuangan baru,negatif
459,Kritik terhadap pemangkasan anggaran oleh Menteri Keuangan baru,negatif
460,Efek kebijakan Menteri Keuangan baru terhadap sistem pajak,negatif
461,Harapan DPR terhadap kinerja Menteri Keuangan baru,positif
462,Isu korupsi dikaitkan dengan kebijakan Menteri Keuangan baru,negatif
463,Publik menilai Menteri Keuangan baru tidak perlu takut kritik,negatif
464,Harapan publik agar Menteri Keuangan baru bekerja nyata,positif
465,Gaya pidato Menteri Keuangan baru menuai kritik,negatif
466,Klarifikasi kontroversi keluarga Menteri Keuangan baru,negatif
467,Aturan baru Kementerian Keuangan diumumkan Menteri Keuangan baru,negatif
468,Laporan kinerja APBN di bawah Menteri Keuangan baru,negatif
469,Spekulasi publik soal pilihan Presiden terhadap Menteri Keuangan baru,negatif
470,Diskusi elite ekonomi soal Menteri Keuangan baru,negatif
471,Penunjukan wakil Menteri Keuangan baru,negatif
472,Profil lengkap Menteri Keuangan baru diperkenalkan,negatif
473,Gebrakan lanjutan Menteri Keuangan baru kembali disorot,positif
474,Pengangkatan Menteri Keuangan baru di China jadi pembanding,negatif
475,Pasar saham bereaksi negatif terhadap Menteri Keuangan baru,negatif
476,Kebijakan impor dibahas kembali oleh Kementerian Keuangan,negatif
477,Dukungan publik terhadap Menteri Keuangan baru,positif
478,Opini positif publik terhadap kinerja Menteri Keuangan baru,positif
479,Rangkuman berita nasional terkait Menteri Keuangan baru,negatif
480,Menteri Keuangan baru yang disebut bernama Purbaya menuai perhatian publik,negatif
481,Sudah seharusnya Sri mulyani mundur,negatif
482,Kebijakan awal Menteri Keuangan baru kembali disorot,negatif
483,Investor mencermati dampak pergantian Menteri Keuangan terhadap pasar saham,negatif
484,Sebaiknya pak purbaya jd menteri keuangan dan perdagangan agar tdk ada permainan kotor di kedua institusi negara yg paling dasar dan dibutuhkan rakyat,positif
485,Sedih liat sri mulyani mundur great women in the wrong country,negatif
486,Mundur Terhormat atau Bertahan Kapolri dan Sri Mulyani di Bawah Tekanan Publik,negatif
487,Breaking News Ekonom Purbaya Yudhi Sadewa dilantik jadi Menteri Keuangan Baru menggantikan Sri Mulyani,negatif
488,sri mulyani diganti ya wkwk,negatif
489,Sudah seharusnya Sri mulyani mundur,negatif
490,Sri Mulyani Batal Mundur Hadiri Rapat Kabinet Bersama Presiden Prabowo,negatif
491,Aturan baru Kementerian Keuangan diumumkan Menteri Keuangan baru,negatif
492,Tolong tag menteri keuangan baru,negatif
493,Pengumuman kabinet Indonesia Bersatu II juga mencakup pergantian Menteri Keuangan,negatif
494,Kritik terhadap pemangkasan anggaran oleh Menteri Keuangan baru,negatif
495,Mahfud MD soal Sri Mulyani Dicopot Saya Dengar Sudah Dua Kali Mengajukan Mundur,negatif
496,Jokowi mendukung hak prerogatif Presiden terkait pergantian Menteri Keuangan,positif
497,Pengamat Ungkap Kepemimpinan Prabowo hingga Sri Mulyani Diberhentikan atau Mundur sebagai Menkeu,negatif
498,Pergantian Menteri Keuangan menjadi sorotan utama dalam reshuffle kabinet,negatif
499,Istana Belum Mau Singgung Pergantian Menteri Keuangan,negatif
500,Cuman akun Kemenkeu yg posting positif pergantian menteri keuangan,positif
501,Istana Belum Mau Singgung Pergantian Menteri Keuangan,negatif
502,Menkeu Purbaya dan Menteri PANRB Bahas Kebijakan Program Prioritas Arahan Presiden Prabowo lewat News,negatif
503,INGAT PAK PRESIDEN PRABOWO SUBIANTO INI SEMUA HASIL KERJA KERAS MENTERI KEUANGAN ANDA PAK PURBAYA,negatif
